epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,4766.84,1.75498,2.95354,0.38972,0.55625,0.25776,0.27462,0.20228,1.86166,5.95626,0.39254,0.00730778,0.00730778,0.00730778
56,4850.49,1.75866,2.92542,0.38995,0.52679,0.26992,0.27707,0.20473,1.86311,5.94129,0.39398,0.00725792,0.00725792,0.00725792
57,4935.04,1.7693,2.885,0.39193,0.56874,0.26196,0.27911,0.20558,1.8673,5.98317,0.39459,0.00720806,0.00720806,0.00720806
58,5018.87,1.75839,2.90569,0.38956,0.53309,0.26702,0.27612,0.20316,1.86854,6.00124,0.39459,0.00715821,0.00715821,0.00715821
59,5102.66,1.73312,2.834,0.38982,0.50889,0.27616,0.2813,0.20835,1.85132,5.86053,0.39125,0.00710835,0.00710835,0.00710835
60,5185.92,1.73202,2.84958,0.38933,0.5765,0.26043,0.28068,0.20693,1.86488,5.94784,0.39512,0.0070585,0.0070585,0.0070585
61,5269.52,1.73026,2.78811,0.38672,0.49376,0.2764,0.27862,0.20591,1.85685,6.01358,0.39263,0.00700864,0.00700864,0.00700864
62,5352.73,1.72784,2.80481,0.38903,0.50848,0.27643,0.2848,0.2097,1.85142,5.8697,0.39482,0.00695878,0.00695878,0.00695878
63,5436.25,1.69491,2.74378,0.38547,0.53379,0.26596,0.28009,0.20497,1.87379,5.90556,0.39691,0.00690893,0.00690893,0.00690893
64,5519.62,1.71306,2.72314,0.3852,0.52965,0.28765,0.29158,0.21613,1.85644,5.94477,0.39699,0.00685907,0.00685907,0.00685907
65,5603.22,1.70908,2.69253,0.38498,0.51293,0.28438,0.2841,0.2086,1.85453,5.98807,0.39471,0.00680922,0.00680922,0.00680922
66,5686.88,1.70261,2.68132,0.38298,0.54478,0.28257,0.29184,0.21569,1.84322,5.93914,0.3922,0.00675936,0.00675936,0.00675936
67,5770.92,1.69127,2.62491,0.38207,0.55935,0.28513,0.29589,0.21799,1.82931,5.78231,0.38971,0.0067095,0.0067095,0.0067095
68,5855.19,1.70478,2.65391,0.38395,0.55221,0.28473,0.29273,0.21483,1.84516,5.85478,0.39136,0.00665965,0.00665965,0.00665965
69,5938.49,1.68141,2.62116,0.38365,0.6064,0.26958,0.29136,0.21345,1.83493,5.76081,0.39277,0.00660979,0.00660979,0.00660979
70,6021.77,1.68524,2.58777,0.38244,0.56461,0.27372,0.28625,0.21092,1.83528,5.8438,0.39275,0.00655994,0.00655994,0.00655994
71,6105.53,1.66458,2.55999,0.38,0.53139,0.28918,0.29419,0.21593,1.85976,5.88153,0.39619,0.00651008,0.00651008,0.00651008
72,6188.85,1.66354,2.57852,0.37953,0.56578,0.27329,0.29179,0.21375,1.85146,5.86533,0.39595,0.00646022,0.00646022,0.00646022
73,6271.83,1.65567,2.51505,0.37911,0.6237,0.26881,0.299,0.22015,1.83921,5.82859,0.39231,0.00641037,0.00641037,0.00641037
74,6355.09,1.65774,2.53357,0.37987,0.56216,0.28427,0.29548,0.21904,1.84265,5.8615,0.39437,0.00636051,0.00636051,0.00636051
